,Points de Ramassage ,Localisation Coordonnées GPS,n min,n max,temps d'arrivée,temps de départ,Population,Ligne,Distance(km)
140,"Mosquée El khayma
","[36.6884944, 2.9704449]",3,4,6h50,6h50,S1,Baba hassen,0.3028
141,Baba hassen villa,"[36.6920967, 2.9725933]",2,2,6h55,6h55,,Baba hassen,0.5192
142,Polyclinique,"[36.69298077154031, 2.982275653811517]",1,1,6h56,6h56,G1,Baba hassen,2.0134000000000003
143,Fleuriste,"[36.6959201, 2.974025]",1,1,6h57,6h57,G1,Baba hassen,1.4290999999999998
144,"Lycée belkadi
","[36.6987261, 2.9775256]",1,2,7h00,7h00,,Baba hassen,0.6622
145,"Rond point kartala
","[36.6967435, 2.9798299]",1,1,7h01,7h01,,Baba hassen,0.31539999999999996
146,"Cité 3 Ouled Fayet
","[36.7291019, 2.9543825]",2,3,7h10,7h10,M2,Baba hassen,6.477399999999999
147,"Rue Bouderbala
","[36.7346432, 2.9528406]",1,1,7h20,7h20,,Baba hassen,1.1944000000000001
148,"Quatre chemins
","[36.7371468, 2.9498053]",2,2,7h21,7h21,M2,Baba hassen,0.4592
149,"Supérette Belkacemi
","[36.7403189, 2.95038]",3,3,7h25,7h25,G1,Baba hassen,0.3852
150,"Rond Point Ooredoo
","[36.7444996, 2.9500443]",3,3,7h26,7h26,B1,Baba hassen,0.736
151,Bessa,"[36.7452148, 2.9444975]",2,2,7h30,7h30,,Baba hassen,0.6402
152,"Mojam3 khalifa
","[36.7533829, 2.9440758]",1,1,7h35,7h35,,Baba hassen,1.9994
153,Cité hayat grossiste,"[36.7046687, 3.0894173]",1,1,6h45,6h45,,Ain naadja,0.0
154,"Arrêt de bus cité hayat
","[36.7047625, 3.0944615]",1,1,6h50,6h50,C1,Ain naadja,0.6337
155,Semar,"[36.6955461, 3.0916311]",1,1,6h55,6h55,C1,Ain naadja,1.4031
156,ain naadja escaliers,"[36.694191, 3.0781493]",1,1,7h00,7h00,,Ain naadja,2.0708
157,"Mosquée El Rahman
","[36.6958916, 3.0769313]",3,3,7h02,7h02,G3,Ain naadja,0.2196
158,Chateau,"[36.7031446, 3.0711592]",2,3,7h05,7h05,S3,Ain naadja,1.0966
159,"Sorecal ain naadja
","[36.7059562, 3.0643799]",4,4,7h10,7h10,C1,Ain naadja,0.7945
160,"Zonka banque
","[36.7114274, 3.0620236]",0,1,7h12,7h12,V1,Ain naadja,0.6616000000000001
161,Sidi mbarek,"[36.7148864, 3.0545959]",1,1,7h13,7h13,,Ain naadja,0.8522000000000001
162,"Birkhadem
","[36.7160238, 3.0498812]",4,5,7h15,7h15,G2,Ain naadja,0.4496
163,"Les vergers ( colital )
","[36.7236208, 3.0500582]",2,2,7h20,7h20,S1,Ain naadja,0.9133
164,"La côte
","[36.7325113, 3.0495409]",1,1,7h30,7h30,,Ain naadja,1.5217
165,La wilaya,"[36.7778772, 3.0604582]",0,1,7h05,7h05,V1,Mauritania,0.0
166,"Hôtel la famille
","[36.7896041, 3.059969]",4,4,7h10,7h10,,Mauritania,1.5493
167,"Okba
","[36.7891007, 3.0573404]",0,1,7h13,7h13,V1,Mauritania,0.402
168,"Serkaji
","[36.7857822, 3.0556295]",3,3,7h17,7h17,G3,Mauritania,1.2472999999999999
169,"Les barreaux rouge
","[36.7845881, 3.0447692]",2,3,7h21,7h21,S1,Mauritania,2.8792
170,climat de france,"[36.7854334, 3.0457395]",2,2,7h23,7h23,G1,Mauritania,0.5528
171,Triolet,"[36.7880782, 3.0445801]",7,7,7h25,7h25,G2,Mauritania,0.5374
172,Carnot,"[36.7728864, 3.0221857]",2,2,7h30,7h30,G2,Mauritania,3.1681999999999997
173,chevally,"[36.7699155, 3.0119578]",5,5,7h33,7h33,G1,Mauritania,0.9983
174,"AADL Douera
","[36.6773871, 2.9609455]",4,4,7h00,7h00,,Douera,0.0
175,"Stop Douera
","[36.6709366, 2.9620794]",1,1,7h05,7h05,,Douera,0.7287
176,"Arrêt bus
","[36.6700198, 2.9549555]",2,2,7h10,7h10,G1,Douera,0.6554
177,Stade communal,"[36.6685814, 2.947979]",2,2,7h,7h,G1,Douera,0.6523
178,Café djabou,"[36.6782279, 2.9414539]",1,1,7h,7h,,Douera,1.5908
179,Rond Point AADL,"[36.6863204, 2.9434418]",9,9,7h,7h,,Douera,1.3651
180,Aadl baba Hassen,"[36.6819525, 2.9441495]",1,1,7h,7h,,Douera,1.1257000000000001
181,AADL baba Hassen 2,"[36.6825599, 2.9467191]",2,2,7h,7h, ,Douera,0.24830000000000002
182,Sortie autoroute,"[36.6867933, 2.9507699]",2,2,7h,7h,,Douera,0.6715
183,Issou,"[36.6859079, 2.9607916]",3,3,,,,Douera,2.0024
184,Clinique médical,"[36.6925871, 2.9653873]",2,3,,,,Douera,1.0460999999999998
185,arrêt taxi,"[36.6977234, 2.9664786]",3,3,,,,Douera,0.823
186,Résidence les lilas ,"[36.7127925, 2.96189]",1,1,,,,Douera,1.9203
187,AADL 1200 tonic,"[36.6420693, 2.7218769]",2,2,,,,Fouka,0.0
188,Chaik 2,"[36.6425898, 2.7323016]",5,5,,,,Fouka,1.3509
189,Chaiba,"[36.6252392, 2.7211108]",6,6,,,,Fouka,4.3388
190,Rond point bou Ismaël,"[36.6394485, 2.6963831]",1,1,,,,Fouka,2.9308
191,Placette bou Ismaël,"[36.6608913, 2.7419985]",5,5,,,,Fouka,5.0984
192,Benhani,"[36.6572329, 2.7447166]",3,3,,,,Fouka,0.7426
193,Salle de sport sortie fouka,"[36.6518513, 2.7525583]",2,2,,,,Fouka,0.921
194,Kerkouba,"[36.6456837, 2.7593014]",5,5,,,,Fouka,0.9846
195,Olympique,"[36.6422552, 2.7528939]",1,1,,,,Fouka,0.9067000000000001
196,"Station NAFTAL kolea","[36.6384859, 2.7562474]",1,1,,,,Fouka,1.3025
197,Cnas,"[36.6380124, 2.7661414]",2,2,,,,Fouka,0.9037999999999999
198,Cimetière kolea,"[36.6431744, 2.77482]",8,8,,,,Fouka,0.9972000000000001
199,Saint Maurice,"[36.6649093, 2.7842634]",3,3,,,,Fouka,2.6565
200,Arrêt de bus douaouda,"[36.6734625, 2.7877707]",2,2,,,,Fouka,1.0022
201,Sortie douaouda,"[36.6787673, 2.7982182]",2,2,,,,Fouka,1.4806
202,Naftal zeralda ,"[36.7016503, 2.8360733]",6,6,,,,Fouka,5.608
203,Aissani,"[36.8022066, 2.9198283]",7,7,,,M1,Ain beniane 1,0.0
204,Rond Point la Madrague,"[36.8013032, 2.9089314]",3,3,,,,Ain beniane 1,1.0357
205,École police,"[36.7966238, 2.9052173]",6,7,,,G1,Ain beniane 1,0.641
206,Zigadi,"[36.7893719, 2.9028603]",7,7,,,,Ain beniane 1,0.8402000000000001
207,Plateau,"[36.7848066, 2.9491143]",1,1,6h50,6h50,,Ain beniane 2,0.0
208,Grand rocher,"[36.8028093, 2.9406338]",2,3,7h00,7h00,,Ain beniane 2,3.8331999999999997
209,Anade,"[36.7987045, 2.9289384]",3,3,7h05,7h05,,Ain beniane 2,1.2905
210,Sonelgaz,"[36.7943471, 2.9342911]",1,1,,,,Ain beniane 2,0.7407999999999999
211,Pharmacie dey,"[36.7914613, 2.9392116]",0,1,,,,Ain beniane 2,0.6464
212,Hai chenawa,"[36.7883019, 2.9148906]",3,5,,,,Ain beniane 2,2.1948000000000003
213,Stade belle vue,"[36.7887699, 2.9128344]",2,2,,,,Ain beniane 2,0.2065
214,Maison de jeunes,"[36.7905895, 2.9111926]",1,1,,,,Ain beniane 2,0.3143
215,Association bir w ihssen,"[36.7943353, 2.9125712]",2,2,,,,Ain beniane 2,0.4634
216,Bâtiments ain benian,"[36.7972601, 2.9127412]",3,3,,,,Ain beniane 2,0.3513
