,,,,,,,,,,,,,,,
,Points de Ramassage ,,Localisation Coordonnées GPS,,,n min,n max,temps d'arrivée,temps de départ,Population,Ligne,Remarque,,Code,Signification
,"Pharmacie merad
",,"36,6626500, 2,9902986
",,,1,1,7h15,7h15,,Ouled chebel, ,,,
,"douar Boukhris
",,"36,6703065, 2,9836632
",,,1,1,7h20,7h20,,Ouled chebel, ,,,
,"Opgi khraicia
",,"36,6718033, 2,9816619
",,,0,1,7h20,7h20,,Ouled chebel, ,,,
,"Cimetière khraicia
",,"36,6724452, 2,9785364
",,,2,2,7h21,7h21,,Ouled chebel, ,,,
,"Arrêt de bus entré khraicia
",,"36,6745472, 2,9774029
",,,0,1,7h21,7h21,,Ouled chebel, ,,,
,"Rond point khraicia
",,"36,6778090, 2,9839666
",,,2,2,7h30,7h30,,Ouled chebel, ,,,
,"Arrêt bus Cherchell
",,"36,6082333, 2,1865415
",,,0,2,5h45,6h30,,Cherchell, ,,,
,"Usine biscuits Cherchell
",,"36,5980856, 2,2459269
",,,1,1,6h00,6h00,,Cherchell, ,,,
,"Douar boumaaza
",,"36,5878938, 2,2736030
",,,1,1,6h05,6h05,,Cherchell, ,,,
,"Rond Point nadour
",,"36,5671324, 2,3942994
",,,5,5,6h15,6h15,"C2, G1",Cherchell, ,,,
,"Rond Point chenwa
",,"36,5874297, 2,4273713
",,,1,1,6h18,6h18,,Cherchell, ,,,
,"Cour de Tipaza
",,"36,5924694, 2,4554678
",,,0,2,6h20,6h20,,Cherchell, ,,,
,"AADL tipaza
",,"36,5886858, 2,4664243
",,,3,3,6h26,6h26,,Cherchell, ,,,
,"Jac ma
",,"36,5899156, 2,5189205
",,,1,1,6h32,6h32,,Cherchell, ,,,
,"Restaurant alama
",,"36,5923830, 2,5616739
",,,1,1,6h35,6h35,,Cherchell, ,,,
,"Mosquée El fath
",,"36,6025392, 2,6086407
",,,1,1,6h41,6h41,,Cherchell, ,,,
,"Poste ain tagourait
",,"36,6037550, 2,6116441
",,,1,1,6h45,6h45,,Cherchell, ,,,
,"Bouharoun
",,"36,6212393, 2,6517814
",,,2,2,6h50,6h50,,Cherchell, ,,,
,"La fermette
",,"36,6273536, 2,6633410
",,,2,2,6h55,6h55,,Cherchell, ,,,
,"Rond Point khemisti
",,"36,6330090, 2,6738281
",,,2,2,6h58,6h58,,Cherchell, ,,,
,"Supérette aouane
",,"36,6378714, 2,6819401
",,,3,3,7h00,7h00,,Cherchell, ,,,
,"Piscine bousmail
",,"36,6401692, 2,6857401
",,,2,2,7h03,7h03,,Cherchell, ,,,
,"Feu rouge
",,"36,6429500, 2,6903924
",,,2,2,7h05,7h05,,Cherchell, ,,,
,"Agence bus bousmail
",,"36,6464321, 2,6961153
",,,8,8,7h07,7h07,,Cherchell, ,,,
,"Énergie solaire
",,"36,6610909, 2,7205592
",,,1,1,7h09,7h09,,Cherchell, ,,,
,Fouka marine,,"36,6699612, 2,7401260
",,,3,5,7h13,7h13,,Cherchell, ,,,
,"Salle des fêtes Djebel El medda
",,"36,6801040, 2,7688316
",,,2,2,7h16,7h16,,Cherchell, ,,,
,"Oued smar
",,"36,7095919, 3,1656329
",,,3,3,6h50,6h50,S1,Oued smar, ,,,
,Ecole mousssaoui,,"36,7095432, 3,1626537
",,,1,1,6h52,6h52,G1,Oued smar, ,,,
,Lycée birouni,,"36,7101611, 3,1583018
",,,1,1,6h55,6h55,,Oued smar, ,,,
,"Arrêt pharmacie
",,"36,7144336, 3,1519698
",,,0,1,6h56,6h56,,Oued smar, ,,,
,"Belfort
",,"36,7210876, 3,1465091
",,,1,1,7h00,7h00,,Oued smar, ,,,
,"Rue des cordonniers
",,"36,7191242, 3,1383542
",,,1,1,7h05,7h05,,Oued smar, ,,,
,Boucherie,,"36,7167930, 3,1368629
",,,1,1,7h06,7h06,,Oued smar, ,,,
,"Dépôt
",,"36,7105192, 3,1317127
",,,0,2,7h07,7h07,S2,Oued smar, ,,,
,"commissariat
",,"36,7065478, 3,1278108
",,,2,2,7h08,7h08,,Oued smar, ,,,
,"Hôpital zemirli
",,"36,7043176, 3,1255332
",,,2,2,7h10,7h10,,Oued smar, ,,,
,"Ouled maamar
",,"36,7723839, 3,2937885
",,,1,2,6h15,6h15,N1,Hraoua, ,,,
,"Station naftal ain kahla
",,"36,7704164, 3,3151725
",,,2,2,6h25,6h25,G2,Hraoua, ,,,
,"Ain kahla
",,"36,7652857, 3,3282764
",,,0,1,6h30,6h30,,Hraoua, ,,,
,"Rond Point ain kahla
",,"36,7589439, 3,3339536
",,,1,1,6h35,6h35,,Hraoua, ,,,
,"Intersection DNC
",,"36,7506855, 3,3423556
",,,2,2,,,G2,Hraoua, ,,,
,DNC 1,,"36,7478315, 3,3424623
",,,1,1,,,G1,Hraoua, ,,,
,DNC 2,,"36,7461959, 3,3425689
",,,3,3,,,,Hraoua, ,,,
,"Gare reghaia
",,"36,7358251, 3,3425840
",,,1,1,,,G1,Hraoua, ,,,
,"Agence reghaia
",,"36,7339953, 3,3439264
",,,1,1,,,G1,Hraoua, ,,,
,"Kerouch  1
",,"36,7342044, 3,3680411
",,,1,1,,,,Hraoua, ,,,
,Kerouch  2,,"36,7326064, 3,3728678
",,,2,4,,,,Hraoua, ,,,
,"AADL 1104
",,"36,6883261, 2,9651566
",,,1,1,6h45,6h45,,Baba hassen, ,,,
,"Stade AADL
",,"36,6875698, 2,9678465
",,,1,1,6h46,6h46,,Baba hassen, ,,,
,"Mosquée El khayma
",,"36,6884944, 2,9704449
",,,3,4,6h50,6h50,S1,Baba hassen, ,,,
,Baba hassen villa,,"36,6920967, 2,9725933
",,,2,2,6h55,6h55,,Baba hassen, ,,,
,Polyclinique,,"36,69298077154031, 2,982275653811517                ",,,1,1,6h56,6h56,G1,Baba hassen, ,,,
,Fleuriste,,"36,6959201, 2,9740250
",,,1,1,6h57,6h57,G1,Baba hassen, ,,,
,"Lycée belkadi
",,"36,6987261, 2,9775256
",,,1,2,7h00,7h00,,Baba hassen, ,,,
,"Rond point kartala
",,"36,6967435, 2,9798299
",,,1,1,7h01,7h01,,Baba hassen, ,,,
,"Cité 3 Ouled Fayet
",,"36,7291019, 2,9543825
",,,2,3,7h10,7h10,M2,Baba hassen, ,,,
