Points de Ramassage ,Localisation Coordonnées GPS,n max,Ligne,,,,,
Naftal zeralda ,"36.7016503, 2.8360733",6,Fouka,,,,,
Aissani,"36.8022066, 2.9198283",7,Ain beniane 1,,,,,
Rond Point la Madrague,"36.8013032, 2.9089314",3,Ain beniane 1,,,,,
École police,"36.7966238, 2.9052173",7,Ain beniane 1,,,,,
Zigadi,"36.7893719, 2.9028603",7,Ain beniane 1,,,,,
Plateau,"36.7848066, 2.9491143",1,Ain beniane 2,,,,,
Grand rocher,"36.8028093, 2.9406338",3,Ain beniane 2,,,,,
Anade,"36.7987045, 2.9289384",3,Ain beniane 2,,,,,
Sonelgaz,"36.7943471, 2.9342911",1,Ain beniane 2,,,,,
Pharmacie dey,"36.7914613, 2.9392116",1,Ain beniane 2,,,,,
Hai chenawa,"36.7883019, 2.9148906",5,Ain beniane 2,,,,,
Stade belle vue,"36.7887699, 2.9128344",2,Ain beniane 2,,,,,
Maison de jeunes,"36.7905895, 2.9111926",1,Ain beniane 2,,,,,
Association bir w ihssen,"36.7943353, 2.9125712",2,Ain beniane 2,,,,,
Bâtiments ain benian,"36.7972601, 2.9127412",3,Ain beniane 2,,,,,
"SARL djaouad
","36.7989144, 2.912586",2,Ain beniane 2,,,,,
Entrée cheraga,"36.7708781, 2.9185673",4,Ain beniane 2,,,,,
Sidi serhan,"36.5043507, 2.9989471",1,Bouinane,,,,,
Boulangerie serine,"36.5312584, 2.9614887",2,Bouinane,,,,,
AADL 2000,"36.532533, 2.9612486",1,Bouinane,,,,,
AADL 3000,"36.5389002, 2.9598492",1,Bouinane,,,,,
Haouch lgereoun,"36.5399355, 2.9670325",1,Bouinane,,,,,
Hai wouroud,"36.5399435, 2.9680923",2,Bouinane,,,,,
3100 arrêt 1,"36.5386282, 2.9810949",1,Bouinane,,,,,
Cem chetouan,"36.5352862, 2.9823449",4,Bouinane,,,,,
Cem 2,"36.5350728, 2.9812287",2,Bouinane,,,,,
Arrêt prochain,"36.5342056, 2.9822899",3,Bouinane,,,,,
Déviation,"36.5342636, 2.9870199",6,Bouinane,,,,,
4500,"36.5387839, 2.9929835",4,Bouinane,,,,,
Tabainat,"36.53461, 3.0411999",3,Bouinane,,,,,
AADL Aslan,"36.6803586, 2.8421662",5,Sidi abdellah,,,,,
Aslan rond Point 2,"36.6783809, 2.8421015",6,Sidi abdellah,,,,,
Cem sidi Abdellah,"36.6718237, 2.8431476",1,Sidi abdellah,,,,,
AADL 5000,"36.6745744, 2.8480758",4,Sidi abdellah,,,,,
"5000 arrêt 2
","36.676632, 2.8498719",1,Sidi abdellah,,,,,
"Bâtiment N8
","36.6813744, 2.8509558",2,Sidi abdellah,,,,,
Bâtiment R1,"36.6809972, 2.8554284",3,Sidi abdellah,,,,,
Boucherie lina,"36.6860044, 2.854209",3,Sidi abdellah,,,,,
Boulevard Hocine ait ahmed,"36.6873662, 2.8570981",1,Sidi abdellah,,,,,
