Points de Ramassage ,Localisation Coordonnées GPS,n max,Ligne,Heure,Heure de départ
Mosquée tawba,"[36.7963432, 2.9867417]",1,Bouzereah 1,6h54,6h54
Lavage,"[36.7936393, 2.9796764]",1,Bouzereah 1,6h54,6h54
Logts el amel,"[36.7931966, 2.9784359]",1,Bouzereah 1,6h54,6h54
Sidi Youssef 2,"[36.7838244, 2.9646543]",5,Bouzereah 1,6h56,6h56
Beni messous entré,"[36.7893039, 2.9699658]",1,Bouzereah 1,6h57,6h57
Mosquée rahma (inv),"[36.7847285, 2.9665191]",1,Bouzereah 1,6h57,6h57
Beni messous,"[36.7831896, 2.9702685]",1,Bouzereah 1,6h58,6h58
Geureoumi El barage,"[36.7802597, 2.9720549]",1,Bouzereah 1,6h59,6h59
Celeste,"[36.795399, 3.0371997]",3,Bouzereah 2,6h50,6h50
Chemin sidi bennour,"[36.7955885, 3.0357825]",1,Bouzereah 2,6h50,6h50
Chemin sidi bennour 2,"[36.7953982, 3.0345101]",4,Bouzereah 2,6h50,6h50
Bouzareah,"[36.7899701, 3.0166862]",3,Bouzereah 2,6h52,6h52
Société générale,"[36.7848437, 3.013143]",1,Bouzereah 2,6h52,6h52
Air de France,"[36.7798305, 3.0102797]",7,Bouzereah 2,6h52,6h52
Rue Djamel Eddine El afghani,"[36.7794342, 3.0038971]",3,Bouzereah 2,6h52,6h52
Thenia,"[36.721312, 3.5705516]",1,Boumerdes,6h0,6h0
Daïra de Boumerdes,"[36.7565336, 3.4774075]",6,Boumerdes,6h12,6h12
Yssref,"[36.7575723, 3.4564726]",2,Boumerdes,6h15,6h15
Corso naftal,"[36.7552109, 3.4472511]",1,Boumerdes,6h16,6h16
Rond point berrahmoun,"[36.7442626, 3.4369337]",2,Boumerdes,6h18,6h18
Entrée boudouaou,"[36.7219745, 3.4193277]",1,Boumerdes,6h23,6h23
Benadjel,"[36.7201898, 3.3982438]",5,Boumerdes,6h24,6h24
Ouled hedadj,"[36.7234971, 3.3488835]",3,Boumerdes,6h28,6h28
Aissat,"[36.7203913, 3.3362107]",1,Boumerdes,6h29,6h29
Rond Point hammadi,"[36.671579, 3.2885338]",4,Boumerdes,6h40,6h40
Golf  k luxe ptt,"[36.7438626759495, 3.0507917678712304]",2,Alger centre,6h50,6h50
Rond point presidence,"[36.7471711, 3.0508327]",3,Alger centre,6h50,6h50
Agence Nationale des Activités Minières,"[36.7476872, 3.0542425]",1,Alger centre,6h50,6h50
Saada clinique,"[36.7442992, 3.0598855]",1,Alger centre,6h51,6h51
Serir rond point,"[36.742044, 3.0651812]",3,Alger centre,6h52,6h52
Comfort,"[36.7465309, 3.0643521]",2,Alger centre,6h53,6h53
Didouche mourad,"[36.7660869, 3.0518469]",6,Alger centre,6h58,6h58
Bibliothèque Nationale,"[36.7640674, 3.0441684]",1,Alger centre,7h1,7h1
Ouagnouni,"[36.7750303, 3.0538988]",3,Alger centre,7h3,7h3
Scala,"[36.774395, 3.042318]",1,Alger centre,7h6,7h6
Place Kennedy,"[36.768516, 3.0304352]",3,Alger centre,7h8,7h8
Fougeroux,"[36.7701457, 3.0045066]",2,Alger centre,7h12,7h12
Route Dely Brahim,"[36.7691716, 2.9873757]",3,Alger centre,7h16,7h16
"Batoire
","[36.7019473, 3.0284443]",1,Shaoula,6h50,6h50
"Rond point gendarmerie
","[36.702847, 3.0277258]",2,Shaoula,6h50,6h50
"Centre de Formation
","[36.7007043, 3.016998]",1,Shaoula,6h51,6h51
"Boujemaa temim
","[36.7004747, 3.0116185]",4,Shaoula,6h52,6h52
"Mosquée Al anssar
","[36.7105772, 3.003078]",2,Shaoula,6h53,6h53
"Stade draria
","[36.7168387, 2.9997514]",2,Shaoula,6h54,6h54
"Pharmacie boudia
","[36.714658, 2.9976059]",1,Shaoula,6h54,6h54
location number one,"[36.707716, 2.9964875]",5,Shaoula,6h55,6h55
saraza,"[36.7093723, 2.9935836]",1,Shaoula,6h55,6h55
chemin des cretes,"[36.7112707, 2.9914208]",3,Shaoula,6h55,6h55
superette 1 2 3,"[36.7195631, 2.9937711]",1,Shaoula,6h56,6h56
Draria,"[36.7226058, 2.9922026]",1,Shaoula,6h57,6h57
Oued terfa,"[36.7245871, 2.9903543]",2,Shaoula,6h57,6h57
"Rond point souachette
","[36.752494, 3.2507344]",2,Tamenfoust,6h20,6h20
